country,climate,natural_resources,population_distribution,net_migration_per_1000_population,age_0_14_percent,age_15_24_percent,age_25_54_percent,age_55_64_percent,age_65_over_percent,language,govt_type,legal_system,gdp_purchasing_power_global_rank,gdp_growth_global_rank,electricity_access_percent,electricity_generating_capacity_global_rank,internet_access_percent,cell_phone_per_100,military_spending_annual_percent_gdp,transnational_disputes
India,varies from tropical monsoon in south to temperate in north,coal,"with the notable exception of the deserts in the northwest, including the Thar Desert, and the mountain fringe in the north, a very high population density exists throughout most of the country; the core of the population is in the north along the banks of the Ganges, with other river valleys and southern coastal areas also having large population concentrations",0.0,26.31,17.51,41.56,7.91,6.72,Hindi,federal parliamentary republic,"common law system based on the English model; separate personal law codes apply to Muslims, Christians, and Hindus; judicial review of legislative acts; note - in late 2019 the Government of India began discussions to overhaul its penal code, which dates to the British colonial period",3.0,27.0,84.5,3.0,34.45,91.0,2.4,"since China and India launched a security and foreign policy dialogue in 2005, consolidated discussions related to the dispute over most of their rugged, militarized boundary, regional nuclear proliferation, Indian claims that China transferred missiles to Pakistan, and other matters continue"
Indian Ocean,"northeast monsoon (December to April), southwest monsoon (June to October); tropical cyclones occur during May/June and October/November in the northern Indian Ocean and January/February in the southern Indian Ocean",oil,0,0.0,0.0,0.0,0.0,0.0,0.0,None,0,0,0.0,0.0,0.0,0.0,0.0,0.0,None,some maritime disputes (see littoral states)
Indonesia,"tropical; hot, humid; more moderate in highlands",petroleum,"major concentration on the island of Java, which is considered one of the most densely populated places on earth; of the outer islands (those surrounding Java and Bali), Sumatra contains some of the most significant clusters, particularly in the south near the Selat Sunda, and along the northeastern coast near Medan; the cities of Makasar (Sulawesi), Banjarmasin (Kalimantan) are also heavily populated",-1.1,23.87,16.76,42.56,8.99,7.82,Bahasa Indonesia,presidential republic,civil law system based on the Roman-Dutch model and influenced by customary law,7.0,47.0,97.6,19.0,39.79,122.0,0.7000000000000001,Indonesia has a stated foreign policy objective of establishing stable fixed land and maritime boundaries with all of its neighbors
Iran,"mostly arid or semiarid, subtropical along Caspian coast",petroleum,"population is concentrated in the north, northwest, and west, reflecting the position of the Zagros and Elburz Mountains; the vast dry areas in the center and eastern parts of the country, around the deserts of the Dasht-e Kavir and Dasht-e Lut, have a much lower population density",-0.30000000000000004,24.11,13.36,48.94,7.72,5.87,Persian Farsi,theocratic republic,religious legal system based on secular and Islamic law,18.0,89.0,100.0,16.0,70.0,107.0,3.8,Iran protests Afghanistan's limiting flow of dammed Helmand River tributaries during drought
Iraq,"mostly desert; mild to cool winters with dry, hot, cloudless summers; northern mountainous regions along Iranian and Turkish borders experience cold winters with occasionally heavy snows that melt in early spring, sometimes causing extensive flooding in central and southern Iraq",petroleum,"population is concentrated in the north, center, and eastern parts of the country, with many of the larger urban agglomerations found along extensive parts of the Tigris and Euphrates Rivers; much of the western and southern areas are either lightly populated or uninhabited",-0.5,37.02,19.83,35.59,4.23,3.33,Arabic,federal parliamentary republic,mixed legal system of civil and Islamic law,34.0,206.0,100.0,34.0,49.36,98.0,3.5,Iraq's lack of a maritime boundary with Iran prompts jurisdiction disputes beyond the mouth of the Shatt al Arab in the Persian Gulf
Ireland,"temperate maritime; modified by North Atlantic Current; mild winters, cool summers; consistently humid; overcast about half the time",natural gas,"population distribution is weighted to the eastern side of the island, with the largest concentration being in and around Dublin; populations in the west are small due to mountainous land, poorer soil, lack of good transport routes, and fewer job opportunities",3.9,21.15,12.08,42.19,10.77,13.82,English,parliamentary republic,common law system based on the English model but substantially modified by customary law; judicial review of legislative acts by Supreme Court,51.0,17.0,100.0,61.0,84.52,98.0,0.30000000000000004,"Ireland, Iceland, and the UK dispute Denmark's claim that the Faroe Islands' continental shelf extends beyond 200 nm"
Isle Of Man,temperate; cool summers and mild winters; overcast about a third of the time,None,"most people concentrated in cities and large towns of which Douglas, in the southeast, is the largest",5.2,16.28,11.02,37.8,13.82,21.08,English,parliamentary democracy (Tynwald),the laws of the UK apply where applicable and include Manx statutes,169.0,221.0,100.0,0.0,0.0,0.0,None,none
Israel,temperate; hot and dry in southern and eastern desert areas,timber,"population concentrated in and around Tel-Aviv, as well as around the Sea of Galilee; the south remains sparsely populated with the exception of the shore of the Gulf of Aqaba",2.1,26.76,15.67,37.2,8.4,11.96,Hebrew,parliamentary democracy,"mixed legal system of English common law, British Mandate regulations, and Jewish, Christian, and Muslim religious laws",54.0,105.0,100.0,48.0,79.7,127.0,5.3,West Bank and Gaza Strip are Israeli-occupied with current status subject to the Israeli-Palestinian Interim Agreement - permanent status to be determined through further negotiation
Italy,"predominantly Mediterranean; alpine in far north; hot, dry in south",coal,"despite a distinctive pattern with an industrial north and an agrarian south, a fairly even population distribution exists throughout most of the country, with coastal areas, the Po River Valley, and urban centers (particularly Milan, Rome, and Naples), attracting larger and denser populations",3.2,13.45,9.61,40.86,14.0,22.08,Italian,parliamentary republic,civil law system; judicial review of legislation under certain conditions in Constitutional Court,12.0,171.0,100.0,10.0,74.39,134.0,1.22,Italy's long coastline and developed economy entices tens of thousands of illegal immigrants from southeastern Europe and northern Africa
Jamaica,"tropical; hot, humid; temperate interior",bauxite,"population density is high throughout, but increases in and around Kingston, Montego Bay, and Port Esquivel",-9.4,25.2,17.95,38.06,9.63,9.17,English,parliamentary democracy (Parliament) under a constitutional monarchy; a Commonwealth realm,common law system based on the English model,140.0,189.0,98.2,126.0,55.07,105.0,1.6,none
Jan Mayen,arctic maritime with frequent storms and persistent fog,None,0,0.0,0.0,0.0,0.0,0.0,0.0,None,0,the laws of Norway apply where applicable,0.0,0.0,0.0,0.0,0.0,0.0,None,none
Japan,varies from tropical in south to cool temperate in north,negligible mineral resources,all primary and secondary regions of high population density lie on the coast; one-third of the population resides in and around Tokyo on the central plain (Kanto Plain),0.0,12.49,9.47,36.8,12.06,29.18,Japanese,parliamentary constitutional monarchy,civil law system based on German model; system also reflects Anglo-American influence and Japanese traditions; judicial review of legislative acts in the Supreme Court,4.0,164.0,100.0,4.0,84.59,143.0,0.93,"the sovereignty dispute over the islands of Etorofu, Kunashiri, and Shikotan, and the Habomai group, known in Japan as the ""Northern Territories"" and in Russia as the ""Southern Kuril Islands,"" occupied by the Soviet Union in 1945, now administered by Russia and claimed by Japan, remains the primary sticking point to signing a peace treaty formally ending World War II hostilities"
Jersey,temperate; mild winters and cool summers,arable land,fairly even distribution; no notable trends,2.3,16.63,12.98,40.12,13.22,17.05,English,parliamentary democracy (Assembly of the States of Jersey),the laws of the UK apply where applicable; includes local statutes,175.0,184.0,100.0,0.0,59.6,119.0,None,none
Jordan,mostly arid desert; rainy season in west (November to April),phosphates,"population heavily concentrated in the west, and particularly the northwest, in and around the capital of Amman; a sizeable, but smaller population is located in the southwest along the shore of the Gulf of Aqaba",-11.3,33.05,19.77,38.39,5.11,3.67,Arabic,parliamentary constitutional monarchy,"mixed system developed from codes instituted by the Ottoman Empire (based on French law), British common law, and Islamic law",90.0,151.0,100.0,82.0,66.79,83.0,4.7,2004 Agreement settles border dispute with Syria pending demarcation
Kazakhstan,"continental, cold winters and hot summers, arid and semiarid",major deposits of petroleum,"most of the country displays a low population density, particularly the interior; population clusters appear in urban agglomerations in the far northern and southern portions of the country",0.4,26.13,12.97,42.23,10.25,8.43,Kazakh   and trilingual  ; Russian,presidential republic,civil law system influenced by Roman-Germanic law and by the theory and practice of the Russian Federation,43.0,78.0,100.0,44.0,78.9,139.0,1.1,"in January 2019, the Kyrgyz Republic ratified the demarcation agreement of the Kazakh-Kyrgyz border"
Kenya,varies from tropical along coast to arid in interior,limestone,"population heavily concentrated in the west along the shore of Lake Victoria; other areas of high density include the capital of Nairobi, and in the southeast along the Indian Ocean coast",-0.2,38.71,20.45,33.75,4.01,3.07,English,presidential republic,"mixed legal system of English common law, Islamic law, and customary law; judicial review in the new Supreme Court established by the new constitution",74.0,53.0,56.0,109.0,17.83,97.0,1.3,Kenya served as an important mediator in brokering Sudan's north-south separation in February 2005
Kiribati,"tropical; marine, hot and humid, moderated by trade winds",phosphate ; production discontinued in 1979,"consists of three achipelagos spread out over an area roughly the size of India; the eastern Line Islands and central Phoenix Islands are sparsely populated, but the western Gilbert Islands are some of the most densely settled places on earth, with the main island of South Tarawa boasting a population density similar to Tokyo or Hong Kong",-2.8,28.47,20.24,40.05,6.65,4.59,I-Kiribati,presidential republic,English common law supplemented by customary law,219.0,108.0,84.9,209.0,14.58,54.0,None,none
"Korea, North","temperate, with rainfall concentrated in summer; long, bitter winters",coal,"population concentrated in the plains and lowlands; least populated regions are the mountainous provinces adjacent to the Chinese border; largest concentrations are in the western provinces, particularly the municipal district of Pyongyang, and around Hungnam and Wonsan in the east",0.0,20.47,14.68,44.0,11.2,9.65,Korean,"dictatorship, single-party state; official state ideology of ""Juche"" or ""national self-reliance""",civil law system based on the Prussian model; system influenced by Japanese traditions and Communist legal theory,118.0,204.0,26.0,60.0,0.0,14.0,None,"risking arrest, imprisonment, and deportation, tens of thousands of North Koreans cross into China to escape famine, economic privation, and political oppression"
"Korea, South","temperate, with rainfall heavier in summer than winter; cold winters",coal,"with approximately 70% of the country considered mountainous, the country's population is primarily concentrated in the lowland areas, where density is quite high; Gyeonggi Province in the northwest, which surrounds the capital of Seoul and contains the port of Incheon, is the most densely populated province; Gangwon in the northeast is the least populated",2.3,12.77,11.18,44.66,15.47,15.92,Korean,presidential republic,"mixed legal system combining European civil law, Anglo-American law, and Chinese classical thought",14.0,109.0,100.0,11.0,95.9,129.0,2.7,Military Demarcation Line within the 4-km-wide Demilitarized Zone has separated North from South Korea since 1953
Kosovo,"influenced by continental air masses resulting in relatively cold winters with heavy snowfall and hot, dry summers and autumns; Mediterranean and alpine influences create regional variation; maximum rainfall between October and December",nickel,"population clusters exist throughout the country, the largest being in the east in and around the capital of Pristina",-1.8,24.07,16.95,42.56,8.67,7.75,Albanian,parliamentary republic,civil law system; note - the European Union Rule of Law Mission (EULEX) retained limited executive powers within the Kosovo judiciary for complex cases from 2008 to 2018,151.0,90.0,100.0,121.0,89.44,31.0,0.8,Serbia with several other states protest the US and other states' recognition of Kosovo's declaration of its status as a sovereign and independent state in February 2008
Kuwait,"dry desert; intensely hot summers; short, cool winters",petroleum,"densest settlement is along the Persian Gulf, particularly in Kuwait City and on Bubiyan Island; significant population threads extend south and west along highways that radiate from the capital, particularly in the southern half of the country",-3.3,24.29,14.96,52.39,5.43,2.92,Arabic,constitutional monarchy (emirate),"mixed legal system consisting of English common law, French civil law, and Islamic sharia law",58.0,214.0,100.0,47.0,99.6,243.0,5.6,Kuwait and Saudi Arabia continue negotiating a joint maritime boundary with Iran
Kyrgyzstan,dry continental to polar in high Tien Shan Mountains; subtropical in southwest (Fergana Valley); temperate in northern foothill zone,abundant hydropower,"the vast majority of Kyrgyzstanis live in rural areas; densest population settlement is to the north in and around the capital, Bishkek, followed by Osh in the west; the least densely populated area is the east, southeast in the Tien Shan mountains",-5.0,30.39,15.7,40.02,8.09,5.8,Kyrgyz,parliamentary republic,"civil law system, which includes features of French civil law and Russian Federation laws",144.0,63.0,100.0,87.0,38.0,149.0,1.5,disputes in Isfara Valley delay completion of delimitation with Tajikistan
Laos,tropical monsoon; rainy season (May to November); dry season (December to April),timber,most densely populated area is in and around the capital city of Vientiane; large communities are primarily found along the Mekong River along the southwestern border; overall density is considered one of the lowest in Southeast Asia,-1.0,31.25,20.6,38.29,5.73,4.13,Lao,communist state,civil law system similar in form to the French system,111.0,22.0,87.1,75.0,25.51,51.0,0.19,southeast Asian states have enhanced border surveillance to check the spread of avian flu
Latvia,"maritime; wet, moderate winters",peat,largest concentration of people is found in and around the port and capital city of Riga; small agglomerations are scattered throughout the country,-5.9,15.32,9.0,40.41,14.77,20.5,Latvian,parliamentary republic,civil law system with traces of socialist legal traditions and practices,108.0,64.0,100.0,98.0,83.58,108.0,2.01,Russia demands better Latvian treatment of ethnic Russians in Latvia
Lebanon,"Mediterranean; mild to cool, wet winters with hot, dry summers; the Lebanon Mountains experience heavy winter snows",limestone,"the majority of the people live on or near the Mediterranean coast, and of these most live in and around the capital, Beirut; favorable growing conditions in the Bekaa Valley, on the southeastern side of the Lebanon Mountains, have attracted farmers and thus the area exhibits a smaller population density",-88.7,20.75,14.98,46.69,9.62,7.96,Arabic,parliamentary republic,"mixed legal system of civil law based on the French civil code, Ottoman legal tradition, and religious laws covering personal status, marriage, divorce, and other family relations of the Jewish, Islamic, and Christian communities",92.0,172.0,100.0,110.0,78.18,73.0,4.2,"lacking a treaty or other documentation describing the boundary, portions of the Lebanon-Syria boundary are unclear with several sections in dispute"
Lesotho,"temperate; cool to cold, dry winters; hot, wet summers",water,"relatively higher population density in the western half of the nation, with the capital of Maseru, and the smaller cities of Mafeteng, Teyateyaneng, and Leribe attracting the most people",-6.1,31.3,19.26,38.86,4.98,5.6,Sesotho,parliamentary constitutional monarchy,mixed legal system of English common law and Roman-Dutch law; judicial review of legislative acts in High Court and Court of Appeal,170.0,205.0,29.7,184.0,29.0,122.0,1.5,"South Africa has placed military units to assist police operations along the border of Lesotho, Zimbabwe, and Mozambique to control smuggling, poaching, and illegal migration"
Liberia,"tropical; hot, humid; dry winters with hot days and cool to cold nights; wet, cloudy summers with frequent heavy showers",iron ore,"more than half of the population lives in urban areas, with approximately one-third living within an 80-km radius of Monrovia",-2.9,43.35,20.35,30.01,3.46,2.83,English,presidential republic,"mixed legal system of common law, based on Anglo-American law, and customary law",173.0,129.0,19.8,173.0,7.98,66.0,0.5,"as the UN Mission in Liberia (UNMIL) continues to drawdown prior to the 1 March 2018 closure date, the peacekeeping force is being reduced to 434 soldiers and two police units"
Libya,"Mediterranean along coast; dry, extreme desert interior",petroleum,well over 90% of the population lives along the Mediterranean coast in and between Tripoli to the west and Al Bayda to the east; the interior remains vastly underpopulated due to the Sahara and lack of surface water,-0.7000000000000001,33.65,15.21,41.57,5.52,4.04,Arabic,in transition,Libya's post-revolution legal system is in flux and driven by state and non-state entities,106.0,1.0,98.5,62.0,21.76,91.48,None,"dormant disputes include Libyan claims of about 32,000 sq km still reflected on its maps of southeastern Algeria and the FLN's assertions of a claim to Chirac Pastures in southeastern Morocco"
Liechtenstein,"continental; cold, cloudy winters with frequent snow or rain; cool to moderately warm, cloudy, humid summers",hydroelectric potential,most of the population is found in the western half of the country along the Rhine River,4.9,15.2,11.29,40.22,14.41,18.88,German,constitutional monarchy,"civil law system influenced by Swiss, Austrian, and German law",179.0,161.0,100.0,0.0,98.1,123.0,None,none
Lithuania,"transitional, between maritime and continental; wet, moderate winters and summers",peat,"fairly even population distribution throughout the country, but somewhat greater concentrations in the southern cities of Vilnius and Kaunas, and the western port of Klaipeda",-5.9,15.26,10.23,38.96,15.1,20.45,Lithuanian,semi-presidential republic,civil law system; legislative acts can be appealed to the Constitutional Court,87.0,82.0,100.0,93.0,79.72,164.0,2.03,Lithuania and Russia committed to demarcating their boundary in 2006 in accordance with the land and maritime treaty ratified by Russia in May 2003 and by Lithuania in 1999
Luxembourg,"modified continental with mild winters, cool summers",iron ore; no longer exploited,"most people live in the south, on or near the border with France",13.3,16.73,11.78,43.93,12.19,15.37,Luxembourgish,constitutional monarchy,civil law system,105.0,142.0,100.0,118.0,97.06,132.0,0.56,none
Macau,"subtropical; marine with cool winters, warm summers",NEGL,population fairly equally distributed,3.3,13.43,10.45,49.0,14.57,12.56,Cantonese,executive-led limited democracy; a special administrative region of the People's Republic of China,civil law system based on the Portuguese model,97.0,6.0,100.0,150.0,83.79,360.0,None,none
Madagascar,"tropical along coast, temperate inland, arid in south",graphite,most of population lives on the eastern half of the island; significant clustering is found in the central highlands and eastern coastline,0.0,38.86,20.06,33.02,4.6,3.47,French,semi-presidential republic,"civil law system based on the old French civil code and customary law in matters of marriage, family, and obligation",120.0,72.0,22.9,136.0,9.8,41.0,0.6000000000000001,"claims Bassas da India, Europa Island, Glorioso Islands, and Juan de Nova Island (all administered by France)"
Malawi,sub-tropical; rainy season (November to May); dry season (May to November),limestone,population density is highest south of Lake Nyasa,0.0,45.87,20.51,27.96,2.98,2.68,English,presidential republic,mixed legal system of English common law and customary law; judicial review of legislative acts in the Supreme Court of Appeal,145.0,79.0,11.0,152.0,13.78,36.0,0.9,dispute with Tanzania over the boundary in Lake Nyasa (Lake Malawi) and the meandering Songwe River
Malaysia,tropical; annual southwest (April to October) and northeast (October to February) monsoons,tin,a highly uneven distribution with over 80% of the population residing on the Malay Peninsula,-0.30000000000000004,26.8,16.63,40.86,8.81,6.9,Bahasa Malaysia,"federal parliamentary constitutional monarchy
note: all Peninsular Malaysian states have hereditary rulers (commonly referred to as sultans) except Melaka (Malacca) and Pulau Pinang (Penang); those two states along with Sabah and Sarawak in East Malaysia have governors appointed by government; powers of state governments are limited by the federal constitution; under terms of federation, Sabah and Sarawak retain certain constitutional prerogatives (e.g., right to maintain their own immigration controls)","mixed legal system of English common law, Islamic (sharia) law, and customary law; judicial review of legislative acts in the Federal Court at request of supreme head of the federation",26.0,37.0,100.0,31.0,81.2,133.0,1,"while the 2002 ""Declaration on the Conduct of Parties in the South China Sea"" has eased tensions over the Spratly Islands, it is not the legally binding ""code of conduct"" sought by some parties, which is currently being negotiated between China and ASEAN"
Maldives,"tropical; hot, humid; dry, northeast monsoon (November to March); rainy, southwest monsoon (June to August)",fish,about a third of the population lives in the centrally located capital city of Male and almost a tenth in southern Addu City; the remainder of the populace is spread over the 200 or so populated islands of the archipelago,-12.7,22.13,17.24,48.91,6.91,4.8100000000000005,Dhivehi,presidential republic,"Islamic (sharia) legal system with English common law influences, primarily in commercial matters",168.0,57.0,100.0,161.0,63.19,219.0,None,none
Mali,"subtropical to arid; hot and dry (February to June); rainy, humid, and mild (June to November); cool and dry (November to February)",gold,"the overwhelming majority of the population lives in the southern half of the country, with greater density along the border with Burkina Faso",-3.9,47.69,19.0,26.61,3.68,3.02,French,semi-presidential republic,civil law system based on the French civil law model and influenced by customary law; judicial review of legislative acts in the Constitutional Court,117.0,39.0,35.1,140.0,13.0,119.0,2.7,demarcation is underway with Burkina Faso
Malta,"Mediterranean; mild, rainy winters; hot, dry summers",limestone,"most of the population lives on the eastern half of Malta, the largest of the three inhabited islands",6.6,14.38,10.33,41.1,12.88,21.3,Maltese,parliamentary republic,mixed legal system of English common law and civil law based on the Roman and Napoleonic civil codes; subject to European Union law,152.0,28.0,100.0,142.0,81.4,137.0,0.6000000000000001,none
Marshall Islands,tropical; hot and humid; wet season May to November; islands border typhoon belt,coconut products,most people live in urban clusters found on many of the country's islands; more than two-thirds of the population lives on the atolls of Majuro and Ebeye,-4.5,32.94,19.09,37.35,5.92,4.7,Marshallese,mixed presidential-parliamentary system in free association with the US,"mixed legal system of US and English common law, customary law, and local statutes",221.0,130.0,93.1,190.0,38.7,21.0,None,claims US territory of Wake Island
Mauritania,"desert; constantly hot, dry, dusty",iron ore,"with most of the country being a desert, vast areas of the country, particularly in the central, northern, and eastern areas, are without sizeable population clusters; half the population lives in or around the coastal capital of Nouakchott; smaller clusters are found near the southern border with Mali and Senegal",-0.8,37.56,19.71,33.91,4.9,3.92,Arabic,presidential republic,mixed legal system of Islamic and French civil law,154.0,99.0,41.7,144.0,20.8,119.0,2.8,Mauritanian claims to Western Sahara remain dormant
Mauritius,"tropical, modified by southeast trade winds; warm, dry winter (May to November); hot, wet, humid summer (November to May)",arable land,"population density is one of the highest in the world; urban cluster are found throught the main island, with a greater density in and around Port Luis; population on Rodrigues Island is spread across the island with a slightly denser cluster on the north coast",0.0,19.44,14.06,43.11,12.31,11.08,Creole,parliamentary republic,civil legal system based on French civil law with some elements of English common law,137.0,88.0,100.0,132.0,58.6,141.0,0.16,Mauritius and Seychelles claim the Chagos Islands
Mexico,varies from tropical to desert,petroleum,most of the population is found in the middle of the country between the states of Jalisco and Veracruz; approximately a quarter of the population lives in and around Mexico City,-1.9,26.01,16.97,41.06,8.29,7.67,Spanish only,federal presidential republic,civil law system with US constitutional law influence; judicial review of legislative acts,11.0,152.0,100.0,17.0,65.77,95.0,0.5,abundant rainfall in recent years along much of the Mexico-US border region has ameliorated periodically strained water-sharing arrangements
"Micronesia, Federated States Of","tropical; heavy year-round rainfall, especially in the eastern islands; located on southern edge of the typhoon belt with occasionally severe damage",timber,the majority of the populaton lives in the coastal areas of the high islands; the mountainous interior is largely uninhabited; less than half of the population lives in urban areas,-20.9,28.88,18.94,40.32,7.24,4.62,English,federal republic in free association with the US,mixed legal system of common and customary law,215.0,153.0,75.4,206.0,35.3,22.0,None,none
Moldova,"moderate winters, warm summers",lignite,"pockets of agglomeration exist throughout the country, the largest being in the center of the country around the capital of Chisinau, followed by Tiraspol and Balti",-9.0,18.31,11.27,43.13,13.26,14.03,Moldovan/Romanian,parliamentary republic,civil law system with Germanic law influences; Constitutional Court review of legislative acts,143.0,65.0,100.0,148.0,76.12,104.0,0.4,"Moldova and Ukraine operate joint customs posts to monitor the transit of people and commodities through Moldova's break-away Transnistria region, which remains under the auspices of an Organization for Security and Cooperation in Europe-mandated peacekeeping mission comprised of Moldovan, Transnistrian, Russian, and Ukrainian troops"
Monaco,"Mediterranean with mild, wet winters and hot, dry summers",None,the second most densely populated country in the world (after Macau); its entire population living on 2 square km,8.3,9.41,9.52,30.46,15.47,35.15,French,constitutional monarchy,civil law system influenced by French legal tradition,165.0,40.0,100.0,0.0,97.05,106.0,None,none
Mongolia,desert; continental (large daily and seasonal temperature ranges),oil,sparsely distributed population throughout the country; the capital of Ulaanbaatar and the northern city of Darhan support the highest population densities,-0.8,26.96,14.93,45.29,8.04,4.78,Mongolian,semi-presidential republic,civil law system influenced by Soviet and Romano-Germanic legal systems; constitution ambiguous on judicial review of legislative acts,114.0,48.0,81.8,125.0,23.71,136.0,0.7000000000000001,none
Montenegro,"Mediterranean climate, hot dry summers and autumns and relatively cold winters with heavy snowfalls inland",bauxite,"highest population density is concentrated in the south, southwest; the extreme eastern border is the least populated area",-4.9,18.14,12.78,39.65,13.41,16.02,Serbian,parliamentary republic,civil law,160.0,69.0,100.0,133.0,71.52,185.0,1.6600000000000001,"Kosovo ratified the border demarcation agreement with Montenegro in March 2018, but the actual demarcation has not been completed"
Montserrat,tropical; little daily or seasonal temperature variation,NEGL,"only the northern half of the island is populated, the southern portion is uninhabitable due to volcanic activity",0.0,16.02,20.55,47.09,9.79,6.55,English,parliamentary democracy; self-governing overseas territory of the UK,English common law,223.0,15.0,0.0,213.0,54.6,95.0,None,none
Morocco,"Mediterranean, becoming more extreme in the interior",phosphates,the highest population density is found along the Atlantic and Mediterranean coasts; a number of densely populated agglomerations are found scattered through the Atlas Mountains,-1.9,27.04,16.55,40.64,8.67,7.11,Arabic,parliamentary constitutional monarchy,mixed legal system of civil law based on French civil law and Islamic (sharia) law; judicial review of legislative acts by Constitutional Court,57.0,74.0,100.0,68.0,64.8,128.0,3.1,claims and administers Western Sahara whose sovereignty remains unresolved
Mozambique,tropical to subtropical,coal,"three large populations clusters are found along the southern coast between Maputo and Inhambane, in the central area between Beira and Chimoio along the Zambezi River, and in and around the northern cities of Nampula, Cidade de Nacala, and Pemba; the northwest and southwest are the least populated areas",-1.7000000000000002,45.57,19.91,28.28,3.31,2.93,Emakhuwa,presidential republic,"mixed legal system of Portuguese civil law and customary law; note - in rural, apply where applicable predominantly Muslim villages with no formal legal system, Islamic law may be applied",122.0,91.0,24.2,102.0,10.0,49.0,0.99,"South Africa has placed military units to assist police operations along the border of Lesotho, Zimbabwe, and Mozambique to control smuggling, poaching, and illegal migration"
Namibia,"desert; hot, dry; rainfall sparse and erratic",diamonds,"population density is very low, with the largest clustering found in the extreme north-central area along the border with Angola",0.0,35.68,20.27,35.47,4.68,3.9,Oshiwambo languages,presidential republic,mixed legal system of uncodified civil law based on Roman-Dutch law and customary law,139.0,200.0,51.8,146.0,51.0,109.0,3,concerns from international experts and local populations over the Okavango Delta ecology in Botswana and human displacement scuttled Namibian plans to construct a hydroelectric dam on Popa Falls along the Angola-Namibia border
Nauru,tropical with a monsoonal pattern; rainy season (November to February),phosphates,"extensive phosphate mining made approximately 90% of the island unsuitable for farming; most people live in the fertile coastal areas, especially along the southwest coast",-11.3,30.87,16.35,42.57,6.72,3.48,Nauruan,parliamentary republic,mixed legal system of common law based on the English model and customary law,224.0,80.0,0.0,211.0,57.0,87.0,None,none
Navassa Island,"marine, tropical",guano,0,0.0,0.0,0.0,0.0,0.0,0.0,None,0,the laws of the US apply where applicable,0.0,0.0,0.0,0.0,0.0,0.0,None,"claimed by Haiti, source of subsistence fishing"
Nepal,varies from cool summers and severe winters in north to subtropical summers and mild winters in south,quartz,most of the population is divided nearly equally between a concentration in the southern-most plains of the Tarai region and the central hilly region; overall density is quite low,-3.1,28.36,20.93,38.38,6.64,5.69,Nepali,federal parliamentary republic,English common law and Hindu legal concepts; note - new criminal and civil codes came into effect on 17 August 2018,95.0,9.0,90.7,130.0,34.0,132.0,1.6,"joint border commission continues to work on contested sections of boundary with India, including the 400 sq km dispute over the source of the Kalapani River"
Netherlands,temperate; marine; cool summers and mild winters,natural gas,"an area known as the Randstad, anchored by the cities of Amsterdam, Rotterdam, the Hague, and Utrecht, is the most densely populated region; the north tends to be less dense, though sizeable communities can be found throughout the entire country",1.9,16.11,11.91,38.47,13.69,19.82,Dutch,parliamentary constitutional monarchy; part of the Kingdom of the Netherlands,civil law system based on the French system; constitution does not permit judicial review of acts of the States General,27.0,118.0,100.0,29.0,94.71,123.0,1.3599999999999999,none
New Caledonia,"tropical; modified by southeast trade winds; hot, humid",nickel,"most of the populace lives in the southern part of the main island, in and around the capital of Noumea",3.8,21.74,15.63,43.73,9.06,9.84,French,parliamentary democracy (Territorial Congress); an overseas collectivity of France,civil law system based on French civil law,159.0,154.0,100.0,128.0,74.0,91.0,None,Matthew and Hunter Islands east of New Caledonia claimed by France and Vanuatu
New Zealand,temperate with sharp regional contrasts,natural gas,"over three-quarters of New Zealanders, including the indigenous Maori, live on the North Island, primarily in urban areas",8.0,19.63,12.92,39.98,11.93,15.54,English,parliamentary democracy under a constitutional monarchy; a Commonwealth realm,"common law system, based on English model, with special legislation and land courts for the Maori",68.0,114.0,100.0,63.0,90.81,134.0,1.5,asserts a territorial claim in Antarctica (Ross Dependency)
Nicaragua,"tropical in lowlands, cooler in highlands",gold,"the overwhelming majority of the population resides in the western half of the country, with much of the urban growth centered in the capital city of Managua; coastal areas also show large population clusters",-2.4,25.63,19.51,42.41,6.63,5.82,Spanish,presidential republic,civil law system; Supreme Court may review administrative acts,124.0,54.0,81.8,123.0,27.86,122.0,0.7000000000000001,"the 1992 ICJ ruling for El Salvador and Honduras advised a tripartite resolution to establish a maritime boundary in the Gulf of Fonseca, which considers Honduran access to the Pacific"
Niger,"desert; mostly hot, dry, dusty; tropical in extreme south",uranium,majority of the populace is located in the southernmost extreme of the country along the border with Nigeria and Benin,-0.7000000000000001,50.58,19.99,23.57,3.17,2.68,French,semi-presidential republic,"mixed legal system of civil law, based on French civil law, Islamic law, and customary law",146.0,55.0,16.2,168.0,5.25,46.0,1.8,"Libya claims about 25,000 sq km in a currently dormant dispute in the Tommo region"
Nigeria,"varies; equatorial in south, tropical in center, arid in north",natural gas,"largest population of any African nation; significant population clusters are scattered throughout the country, with the highest density areas being in the south and southwest",-0.2,41.7,20.27,30.6,4.13,3.3,English,federal presidential republic,"mixed legal system of English common law, Islamic law (in 12 northern states), and traditional law",24.0,187.0,59.3,58.0,42.0,85.0,0.5,"Joint Border Commission with Cameroon reviewed 2002 ICJ ruling on the entire boundary and bilaterally resolved differences, including June 2006 Greentree Agreement that immediately cedes sovereignty of the Bakassi Peninsula to Cameroon with a phaseout of Nigerian control within two years while resolving patriation issues"
