country,climate,natural_resources,population_distribution,net_migration_per_1000_population,age_0_14_percent,age_15_24_percent,age_25_54_percent,age_55_64_percent,age_65_over_percent,language,govt_type,legal_system,gdp_purchasing_power_global_rank,gdp_growth_global_rank,electricity_access_percent,electricity_generating_capacity_global_rank,internet_access_percent,cell_phone_per_100,military_spending_annual,transnational_disputes
Jamaica,"tropical; hot, humid; temperate interior","['bauxite', 'alumina', 'gypsum', 'limestone']","population density is high throughout, but increases in and around Kingston, Montego Bay, and Port Esquivel",-9.4,25.2,17.95,38.06,9.63,9.17,"[{'name': 'English'}, {'name': 'English patois'}]",parliamentary democracy (Parliament) under a constitutional monarchy; a Commonwealth realm,common law system based on the English model,140.0,189.0,98.2,126.0,55.07,105.0,"[{'value': 1.6, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 1.3, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 1, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 1, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 0.9, 'units': 'percent_of_gdp', 'date': '2015'}]",['none']
Jan Mayen,arctic maritime with frequent storms and persistent fog,,,,,,,,,None,,the laws of Norway apply where applicable,,,,,,,,['none']
Japan,varies from tropical in south to cool temperate in north,"['negligible mineral resources', 'fish', 'note', 'with virtually no natural energy resources', ""Japan is the world's largest importer of coal"", 'liquefied natural gas', 'as well as the second largest importer of oil']",all primary and secondary regions of high population density lie on the coast; one-third of the population resides in and around Tokyo on the central plain (Kanto Plain),0.0,12.49,9.47,36.8,12.06,29.18,[{'name': 'Japanese'}],parliamentary constitutional monarchy,civil law system based on German model; system also reflects Anglo-American influence and Japanese traditions; judicial review of legislative acts in the Supreme Court,4.0,164.0,100.0,4.0,84.59,143.0,"[{'value': 0.93, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 0.93, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 0.93, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 0.9400000000000001, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 0.9400000000000001, 'units': 'percent_of_gdp', 'date': '2015'}]","['the sovereignty dispute over the islands of Etorofu, Kunashiri, and Shikotan, and the Habomai group, known in Japan as the ""Northern Territories"" and in Russia as the ""Southern Kuril Islands,"" occupied by the Soviet Union in 1945, now administered by Russia and claimed by Japan, remains the primary sticking point to signing a peace treaty formally ending World War II hostilities', 'Japan and South Korea claim Liancourt Rocks (Take-shima/Tok-do) occupied by South Korea since 1954', 'the Japanese-administered Senkaku Islands are also claimed by China and Taiwan']"
Jersey,temperate; mild winters and cool summers,['arable land'],fairly even distribution; no notable trends,2.3,16.63,12.98,40.12,13.22,17.05,"[{'name': 'English', 'percent': 94.5, 'note': 'official'}, {'name': 'Portuguese', 'percent': 4.6}, {'name': 'other .9%  and Jerriais est.', 'percent': 2001, 'note': 'includes French (official; ; '}]",parliamentary democracy (Assembly of the States of Jersey),the laws of the UK apply where applicable; includes local statutes,175.0,184.0,100.0,,59.6,119.0,,['none']
Jordan,mostly arid desert; rainy season in west (November to April),"['phosphates', 'potash', 'shale oil']","population heavily concentrated in the west, and particularly the northwest, in and around the capital of Amman; a sizeable, but smaller population is located in the southwest along the shore of the Gulf of Aqaba",-11.3,33.05,19.77,38.39,5.11,3.67,"[{'name': 'Arabic', 'note': 'official'}, {'name': 'English', 'note': 'widely understood among upper and middle classes'}]",parliamentary constitutional monarchy,"mixed system developed from codes instituted by the Ottoman Empire (based on French law), British common law, and Islamic law",90.0,151.0,100.0,82.0,66.79,83.0,"[{'value': 4.7, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 4.7, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 4.8, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 4.6, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 4.3, 'units': 'percent_of_gdp', 'date': '2015'}]",['2004 Agreement settles border dispute with Syria pending demarcation']
Kazakhstan,"continental, cold winters and hot summers, arid and semiarid","['major deposits of petroleum', 'natural gas', 'coal', 'iron ore', 'manganese', 'chrome ore', 'nickel', 'cobalt', 'copper', 'molybdenum', 'lead', 'zinc', 'bauxite', 'gold', 'uranium']","most of the country displays a low population density, particularly the interior; population clusters appear in urban agglomerations in the far northern and southern portions of the country",0.4,26.13,12.97,42.23,10.25,8.43,"[{'name': 'Kazakh   and trilingual  ; Russian', 'percent': 94.4, 'note': 'official, Qazaq; understand spoken language; Kazakh, Russian, English; official, used in everyday business, designated the ""language of interethnic communication""; understand spoken language; 2009 est.'}]",presidential republic,civil law system influenced by Roman-Germanic law and by the theory and practice of the Russian Federation,43.0,78.0,100.0,44.0,78.9,139.0,"[{'value': 1.1, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 0.9, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 0.9, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 0.9, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 1.1, 'units': 'percent_of_gdp', 'date': '2015'}]","['in January 2019, the Kyrgyz Republic ratified the demarcation agreement of the Kazakh-Kyrgyz border', 'the demarcation of the Kazakh-Uzbek borders is ongoing', 'the ongoing demarcation with Russia began in 2007', 'demarcation with China completed in 2002']"
Kenya,varies from tropical along coast to arid in interior,"['limestone', 'soda ash', 'salt', 'gemstones', 'fluorspar', 'zinc', 'diatomite', 'gypsum', 'wildlife', 'hydropower']","population heavily concentrated in the west along the shore of Lake Victoria; other areas of high density include the capital of Nairobi, and in the southeast along the Indian Ocean coast",-0.2,38.71,20.45,33.75,4.01,3.07,"[{'name': 'English', 'note': 'official'}, {'name': 'Kiswahili', 'note': 'official'}, {'name': 'numerous indigenous languages'}]",presidential republic,"mixed legal system of English common law, Islamic law, and customary law; judicial review in the new Supreme Court established by the new constitution",74.0,53.0,56.0,109.0,17.83,97.0,"[{'value': 1.3, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 1.2, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 1.3, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 1.3, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 1.3, 'units': 'percent_of_gdp', 'date': '2015'}]","[""Kenya served as an important mediator in brokering Sudan's north-south separation in February 2005"", ""as of March 2019, Kenya provides shelter to nearly 475,000 refugees and asylum seekers, including Ugandans who flee across the border periodically to seek protection from Lord's Resistance Army rebels"", 'Kenya works hard to prevent the clan and militia fighting in Somalia from spreading across the border, which has long been open to nomadic pastoralists', 'the boundary that separates Kenya\'s and Sudan\'s sovereignty is unclear in the ""Ilemi Triangle,"" which Kenya has administered since colonial times', 'in 2018, Kenya signed an MoU with Uganda and South Sudan to help demarcate their borders']"
Kiribati,"tropical; marine, hot and humid, moderated by trade winds","['phosphate ; production discontinued in 1979', 'coconuts', 'copra', 'fish']","consists of three achipelagos spread out over an area roughly the size of India; the eastern Line Islands and central Phoenix Islands are sparsely populated, but the western Gilbert Islands are some of the most densely settled places on earth, with the main island of South Tarawa boasting a population density similar to Tokyo or Hong Kong",-2.8,28.47,20.24,40.05,6.65,4.59,"[{'name': 'I-Kiribati'}, {'name': 'English', 'note': 'official'}]",presidential republic,English common law supplemented by customary law,219.0,108.0,84.9,209.0,14.58,54.0,,['none']
"Korea, North","temperate, with rainfall concentrated in summer; long, bitter winters","['coal', 'iron ore', 'limestone', 'magnesite', 'graphite', 'copper', 'zinc', 'lead', 'precious metals', 'hydropower']","population concentrated in the plains and lowlands; least populated regions are the mountainous provinces adjacent to the Chinese border; largest concentrations are in the western provinces, particularly the municipal district of Pyongyang, and around Hungnam and Wonsan in the east",0.0,20.47,14.68,44.0,11.2,9.65,[{'name': 'Korean'}],"dictatorship, single-party state; official state ideology of ""Juche"" or ""national self-reliance""",civil law system based on the Prussian model; system influenced by Japanese traditions and Communist legal theory,118.0,204.0,26.0,60.0,,14.0,,"['risking arrest, imprisonment, and deportation, tens of thousands of North Koreans cross into China to escape famine, economic privation, and political oppression', 'North Korea and China dispute the sovereignty of certain islands in Yalu and Tumen Rivers', 'Military Demarcation Line within the 4-km-wide Demilitarized Zone has separated North from South Korea since 1953', 'periodic incidents in the Yellow Sea with South Korea which claims the Northern Limiting Line as a maritime boundary', ""North Korea supports South Korea in rejecting Japan's claim to Liancourt Rocks (Tok-do/Take-shima)""]"
"Korea, South","temperate, with rainfall heavier in summer than winter; cold winters","['coal', 'tungsten', 'graphite', 'molybdenum', 'lead', 'hydropower potential']","with approximately 70% of the country considered mountainous, the country's population is primarily concentrated in the lowland areas, where density is quite high; Gyeonggi Province in the northwest, which surrounds the capital of Seoul and contains the port of Incheon, is the most densely populated province; Gangwon in the northeast is the least populated",2.3,12.77,11.18,44.66,15.47,15.92,"[{'name': 'Korean'}, {'name': 'English', 'note': 'widely taught in elementary, junior high, and high school'}]",presidential republic,"mixed legal system combining European civil law, Anglo-American law, and Chinese classical thought",14.0,109.0,100.0,11.0,95.9,129.0,"[{'value': 2.7, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 2.6, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 2.4, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 2.5, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 2.5, 'units': 'percent_of_gdp', 'date': '2015'}]","['Military Demarcation Line within the 4-km-wide Demilitarized Zone has separated North from South Korea since 1953', 'periodic incidents with North Korea in the Yellow Sea over the Northern Limit Line, which South Korea claims as a maritime boundary', 'South Korea and Japan claim Liancourt Rocks (Tok-do/Take-shima), occupied by South Korea since 1954']"
Kosovo,"influenced by continental air masses resulting in relatively cold winters with heavy snowfall and hot, dry summers and autumns; Mediterranean and alpine influences create regional variation; maximum rainfall between October and December","['nickel', 'lead', 'zinc', 'magnesium', 'lignite', 'kaolin', 'chrome', 'bauxite']","population clusters exist throughout the country, the largest being in the east in and around the capital of Pristina",-1.8,24.07,16.95,42.56,8.67,7.75,"[{'name': 'Albanian', 'percent': 94.5, 'note': 'official'}, {'name': 'Bosnian', 'percent': 1.7000000000000002}, {'name': 'Serbian', 'percent': 1.6, 'note': 'official'}, {'name': 'Turkish', 'percent': 1.1}, {'name': 'other', 'percent': 0.9, 'note': 'includes Romani'}, {'name': 'unspecified', 'percent': 0.1}]",parliamentary republic,civil law system; note - the European Union Rule of Law Mission (EULEX) retained limited executive powers within the Kosovo judiciary for complex cases from 2008 to 2018,151.0,90.0,100.0,121.0,89.44,31.0,"[{'value': 0.8, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 0.8, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 0.8, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 0.8, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 0.8, 'units': 'percent_of_gdp', 'date': '2015'}]","[""Serbia with several other states protest the US and other states' recognition of Kosovo's declaration of its status as a sovereign and independent state in February 2008"", ""ethnic Serbian municipalities along Kosovo's northern border challenge final status of Kosovo-Serbia boundary"", 'NATO-led Kosovo Force peacekeepers under UN Interim Administration Mission in Kosovo authority continue to ensure a safe and secure environment and freedom of movement for all Kosovo citizens', 'Kosovo and North Macedonia completed demarcation of their boundary in September 2008', 'Kosovo ratified the border demarcation agreement with Montenegro in March 2018, but the actual demarcation has not been completed']"
Kuwait,"dry desert; intensely hot summers; short, cool winters","['petroleum', 'fish', 'shrimp', 'natural gas']","densest settlement is along the Persian Gulf, particularly in Kuwait City and on Bubiyan Island; significant population threads extend south and west along highways that radiate from the capital, particularly in the southern half of the country",-3.3,24.29,14.96,52.39,5.43,2.92,"[{'name': 'Arabic', 'note': 'official'}, {'name': 'English'}]",constitutional monarchy (emirate),"mixed legal system consisting of English common law, French civil law, and Islamic sharia law",58.0,214.0,100.0,47.0,99.6,243.0,"[{'value': 5.6, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 5.1, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 5.6, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 5.8, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 5, 'units': 'percent_of_gdp', 'date': '2015'}]","['Kuwait and Saudi Arabia continue negotiating a joint maritime boundary with Iran', 'no maritime boundary exists with Iraq in the Persian Gulf']"
Kyrgyzstan,dry continental to polar in high Tien Shan Mountains; subtropical in southwest (Fergana Valley); temperate in northern foothill zone,"['abundant hydropower', 'gold', 'rare earth metals', 'coal', 'oil', 'natural gas', 'nepheline', 'mercury', 'bismuth', 'lead', 'zinc']","the vast majority of Kyrgyzstanis live in rural areas; densest population settlement is to the north in and around the capital, Bishkek, followed by Osh in the west; the least densely populated area is the east, southeast in the Tien Shan mountains",-5.0,30.39,15.7,40.02,8.09,5.8,"[{'name': 'Kyrgyz', 'percent': 71.4, 'note': 'official'}, {'name': 'Uzbek', 'percent': 14.4}, {'name': 'Russian', 'percent': 9, 'note': 'official'}, {'name': 'other', 'percent': 5.2}]",parliamentary republic,"civil law system, which includes features of French civil law and Russian Federation laws",144.0,63.0,100.0,87.0,38.0,149.0,"[{'value': 1.5, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 1.6, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 1.6, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 1.7000000000000002, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 1.8, 'units': 'percent_of_gdp', 'date': '2015'}]","['disputes in Isfara Valley delay completion of delimitation with Tajikistan', 'delimitation of approximately 15% or 200 km of border with Uzbekistan is hampered by serious disputes over enclaves and other areas']"
Laos,tropical monsoon; rainy season (May to November); dry season (December to April),"['timber', 'hydropower', 'gypsum', 'tin', 'gold', 'gemstones']",most densely populated area is in and around the capital city of Vientiane; large communities are primarily found along the Mekong River along the southwestern border; overall density is considered one of the lowest in Southeast Asia,-1.0,31.25,20.6,38.29,5.73,4.13,"[{'name': 'Lao', 'note': 'official'}, {'name': 'French'}, {'name': 'English'}, {'name': 'various ethnic languages'}]",communist state,civil law system similar in form to the French system,111.0,22.0,87.1,75.0,25.51,51.0,"[{'value': 0.19, 'units': 'percent_of_gdp', 'date': '2013'}, {'value': 0.2, 'units': 'percent_of_gdp', 'date': '2012'}, {'value': 0.21, 'units': 'percent_of_gdp', 'date': '2011'}]","['southeast Asian states have enhanced border surveillance to check the spread of avian flu', 'talks continue on completion of demarcation with Thailand but disputes remain over islands in the Mekong River', 'Cambodia and Laos have a longstanding border demarcation dispute', ""concern among Mekong River Commission members that China's construction of eight dams on the Upper Mekong River and construction of more dams on its tributaries will affect water levels, sediment flows, and fisheries"", ""Cambodia and Vietnam are concerned about Laos' extensive plans for upstream dam construction for the same reasons""]"
Latvia,"maritime; wet, moderate winters","['peat', 'limestone', 'dolomite', 'amber', 'hydropower', 'timber', 'arable land']",largest concentration of people is found in and around the port and capital city of Riga; small agglomerations are scattered throughout the country,-5.9,15.32,9.0,40.41,14.77,20.5,"[{'name': 'Latvian', 'percent': 56.3, 'note': 'official'}, {'name': 'Russian', 'percent': 33.8}, {'name': 'other', 'percent': 0.6000000000000001, 'note': 'includes Polish, Ukrainian, and Belarusian'}, {'name': 'unspecified', 'percent': 9.4}]",parliamentary republic,civil law system with traces of socialist legal traditions and practices,108.0,64.0,100.0,98.0,83.58,108.0,"[{'value': 2.01, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 2.08, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 1.5899999999999999, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 1.45, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 1.04, 'units': 'percent_of_gdp', 'date': '2015'}]","['Russia demands better Latvian treatment of ethnic Russians in Latvia', 'boundary demarcated with Latvia and Lithuania', 'the Latvian parliament has not ratified its 1998 maritime boundary treaty with Lithuania, primarily due to concerns over oil exploration rights', ""as a member state that forms part of the EU's external border, Latvia has implemented the strict Schengen border rules with Russia""]"
Lebanon,"Mediterranean; mild to cool, wet winters with hot, dry summers; the Lebanon Mountains experience heavy winter snows","['limestone', 'iron ore', 'salt', 'water-surplus state in a water-deficit region', 'arable land']","the majority of the people live on or near the Mediterranean coast, and of these most live in and around the capital, Beirut; favorable growing conditions in the Bekaa Valley, on the southeastern side of the Lebanon Mountains, have attracted farmers and thus the area exhibits a smaller population density",-88.7,20.75,14.98,46.69,9.62,7.96,"[{'name': 'Arabic', 'note': 'official'}, {'name': 'French'}, {'name': 'English'}, {'name': 'Armenian'}]",parliamentary republic,"mixed legal system of civil law based on the French civil code, Ottoman legal tradition, and religious laws covering personal status, marriage, divorce, and other family relations of the Jewish, Islamic, and Christian communities",92.0,172.0,100.0,110.0,78.18,73.0,"[{'value': 4.2, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 4.9, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 4.5, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 5.1, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 4.5, 'units': 'percent_of_gdp', 'date': '2015'}]","['lacking a treaty or other documentation describing the boundary, portions of the Lebanon-Syria boundary are unclear with several sections in dispute', ""since 2000, Lebanon has claimed Shab'a Farms area in the Israeli-controlled Golan Heights"", 'the roughly 2,000-strong UN Interim Force in Lebanon has been in place since 1978']"
Lesotho,"temperate; cool to cold, dry winters; hot, wet summers","['water', 'agricultural', 'grazing land', 'diamonds', 'sand', 'clay', 'building stone']","relatively higher population density in the western half of the nation, with the capital of Maseru, and the smaller cities of Mafeteng, Teyateyaneng, and Leribe attracting the most people",-6.1,31.3,19.26,38.86,4.98,5.6,"[{'name': 'Sesotho', 'note': 'official; southern Sotho'}, {'name': 'English', 'note': 'official'}, {'name': 'Zulu'}, {'name': 'Xhosa'}]",parliamentary constitutional monarchy,mixed legal system of English common law and Roman-Dutch law; judicial review of legislative acts in High Court and Court of Appeal,170.0,205.0,29.7,184.0,29.0,122.0,"[{'value': 1.5, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 1.81, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 2.01, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 1.83, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 1.85, 'units': 'percent_of_gdp', 'date': '2015'}]","['South Africa has placed military units to assist police operations along the border of Lesotho, Zimbabwe, and Mozambique to control smuggling, poaching, and illegal migration']"
Liberia,"tropical; hot, humid; dry winters with hot days and cool to cold nights; wet, cloudy summers with frequent heavy showers","['iron ore', 'timber', 'diamonds', 'gold', 'hydropower']","more than half of the population lives in urban areas, with approximately one-third living within an 80-km radius of Monrovia",-2.9,43.35,20.35,30.01,3.46,2.83,"[{'name': 'English', 'percent': 20, 'note': 'official'}, {'name': 'some ethnic group languages few of which can be written or used in correspondence', 'percent': 20}]",presidential republic,"mixed legal system of common law, based on Anglo-American law, and customary law",173.0,129.0,19.8,173.0,7.98,66.0,"[{'value': 0.5, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 0.4, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 0.4, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 0.4, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 0.5, 'units': 'percent_of_gdp', 'date': '2015'}]","['as the UN Mission in Liberia (UNMIL) continues to drawdown prior to the 1 March 2018 closure date, the peacekeeping force is being reduced to 434 soldiers and two police units', ""some Liberian refugees still remain in Guinea, Cote d'Ivoire, Sierra Leone, and Ghana"", 'Liberia shelters 8,804 Ivoirian refugees, as of 2019']"
Libya,"Mediterranean along coast; dry, extreme desert interior","['petroleum', 'natural gas', 'gypsum']",well over 90% of the population lives along the Mediterranean coast in and between Tripoli to the west and Al Bayda to the east; the interior remains vastly underpopulated due to the Sahara and lack of surface water,-0.7000000000000001,33.65,15.21,41.57,5.52,4.04,"[{'name': 'Arabic', 'note': 'official'}, {'name': 'Italian'}, {'name': 'English ; Berber', 'note': 'all widely understood in the major cities; Nafusi, Ghadamis, Suknah, Awjilah, Tamasheq'}]",in transition,Libya's post-revolution legal system is in flux and driven by state and non-state entities,106.0,1.0,98.5,62.0,21.76,91.48,,"[""dormant disputes include Libyan claims of about 32,000 sq km still reflected on its maps of southeastern Algeria and the FLN's assertions of a claim to Chirac Pastures in southeastern Morocco"", 'various Chadian rebels from the Aozou region reside in southern Libya']"
Liechtenstein,"continental; cold, cloudy winters with frequent snow or rain; cool to moderately warm, cloudy, humid summers","['hydroelectric potential', 'arable land']",most of the population is found in the western half of the country along the Rhine River,4.9,15.2,11.29,40.22,14.41,18.88,"[{'name': 'German', 'percent': 91.5, 'note': 'official; Alemannic is the main dialect'}, {'name': 'Italian', 'percent': 1.5}, {'name': 'Turkish', 'percent': 1.3}, {'name': 'Portuguese', 'percent': 1.1}, {'name': 'other', 'percent': 4.6}]",constitutional monarchy,"civil law system influenced by Swiss, Austrian, and German law",179.0,161.0,100.0,,98.1,123.0,,['none']
Lithuania,"transitional, between maritime and continental; wet, moderate winters and summers","['peat', 'arable land', 'amber']","fairly even population distribution throughout the country, but somewhat greater concentrations in the southern cities of Vilnius and Kaunas, and the western port of Klaipeda",-5.9,15.26,10.23,38.96,15.1,20.45,"[{'name': 'Lithuanian', 'percent': 82, 'note': 'official'}, {'name': 'Russian', 'percent': 8}, {'name': 'Polish', 'percent': 5.6}, {'name': 'other', 'percent': 0.9}, {'name': 'unspecified', 'percent': 3.5}]",semi-presidential republic,civil law system; legislative acts can be appealed to the Constitutional Court,87.0,82.0,100.0,93.0,79.72,164.0,"[{'value': 2.03, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 1.98, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 1.72, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 1.48, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 1.1400000000000001, 'units': 'percent_of_gdp', 'date': '2015'}]","['Lithuania and Russia committed to demarcating their boundary in 2006 in accordance with the land and maritime treaty ratified by Russia in May 2003 and by Lithuania in 1999', 'Lithuania operates a simplified transit regime for Russian nationals traveling from the Kaliningrad coastal exclave into Russia, while still conforming, as a EU member state having an external border with a non-EU member, to strict Schengen border rules', 'boundary demarcated with Latvia and Lithuania', 'as of January 2007, ground demarcation of the boundary with Belarus was complete and mapped with final ratification documents in preparation']"
Luxembourg,"modified continental with mild winters, cool summers","['iron ore; no longer exploited', 'arable land']","most people live in the south, on or near the border with France",13.3,16.73,11.78,43.93,12.19,15.37,"[{'name': 'Luxembourgish', 'percent': 55.8, 'note': 'official administrative and judicial language and national language (spoken vernacular; '}, {'name': 'Portuguese', 'percent': 15.7}, {'name': 'French', 'percent': 12.1, 'note': 'official administrative, judicial, and legislative language'}, {'name': 'German', 'percent': 3.1, 'note': 'official administrative and judicial language'}, {'name': 'Italian', 'percent': 2.9}, {'name': 'English', 'percent': 2.1}, {'name': 'other', 'percent': 8.4, 'note': '2011 est.'}]",constitutional monarchy,civil law system,105.0,142.0,100.0,118.0,97.06,132.0,"[{'value': 0.56, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 0.51, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 0.52, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 0.4, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 0.44, 'units': 'percent_of_gdp', 'date': '2015'}]",['none']
Macau,"subtropical; marine with cool winters, warm summers",['NEGL'],population fairly equally distributed,3.3,13.43,10.45,49.0,14.57,12.56,"[{'name': 'Cantonese', 'percent': 80.1}, {'name': 'Mandarin', 'percent': 5.5}, {'name': 'other Chinese dialects', 'percent': 5.3}, {'name': 'Tagalog', 'percent': 3}, {'name': 'English', 'percent': 2.8}, {'name': 'Portuguese', 'percent': 0.6000000000000001}, {'name': 'other', 'percent': 2.8}]",executive-led limited democracy; a special administrative region of the People's Republic of China,civil law system based on the Portuguese model,97.0,6.0,100.0,150.0,83.79,360.0,,['none']
Madagascar,"tropical along coast, temperate inland, arid in south","['graphite', 'chromite', 'coal', 'bauxite', 'rare earth elements', 'salt', 'quartz', 'tar sands', 'semiprecious stones', 'mica', 'fish', 'hydropower']",most of population lives on the eastern half of the island; significant clustering is found in the central highlands and eastern coastline,0.0,38.86,20.06,33.02,4.6,3.47,"[{'name': 'French', 'note': 'official'}, {'name': 'Malagasy', 'note': 'official'}, {'name': 'English'}]",semi-presidential republic,"civil law system based on the old French civil code and customary law in matters of marriage, family, and obligation",120.0,72.0,22.9,136.0,9.8,41.0,"[{'value': 0.6000000000000001, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 0.6000000000000001, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 0.58, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 0.59, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 0.6000000000000001, 'units': 'percent_of_gdp', 'date': '2015'}]","['claims Bassas da India, Europa Island, Glorioso Islands, and Juan de Nova Island (all administered by France)', 'the vegetated drying cays of Banc du Geyser, which were claimed by Madagascar in 1976, also fall within the EEZ claims of the Comoros and France (Glorioso Islands, part of the French Southern and Antarctic Lands)']"
Malawi,sub-tropical; rainy season (November to May); dry season (May to November),"['limestone', 'arable land', 'hydropower', 'uranium; unexploited', 'coal; unexploited', 'bauxite; unexploited']",population density is highest south of Lake Nyasa,0.0,45.87,20.51,27.96,2.98,2.68,"[{'name': 'English', 'note': 'official'}, {'name': 'Chichewa', 'note': 'common'}, {'name': 'Chinyanja'}, {'name': 'Chiyao'}, {'name': 'Chitumbuka'}, {'name': 'Chilomwe'}, {'name': 'Chinkhonde'}, {'name': 'Chingoni'}, {'name': 'Chisena'}, {'name': 'Chitonga'}, {'name': 'Chinyakyusa'}, {'name': 'Chilambya'}]",presidential republic,mixed legal system of English common law and customary law; judicial review of legislative acts in the Supreme Court of Appeal,145.0,79.0,11.0,152.0,13.78,36.0,"[{'value': 0.9, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 0.85, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 0.76, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 0.64, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 0.63, 'units': 'percent_of_gdp', 'date': '2015'}]","['dispute with Tanzania over the boundary in Lake Nyasa (Lake Malawi) and the meandering Songwe River', 'Malawi contends that the entire lake up to the Tanzanian shoreline is its territory, while Tanzania claims the border is in the center of the lake', 'the conflict was reignited in 2012 when Malawi awarded a license to a British company for oil exploration in the lake']"
